# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
126 5.249999999999998e-10 3.409946068214677e-18 8.743451456960710e-05 2.185862864240178e-04 3.836810046928918e-04 8.743451456960710e-17
127 5.291666666666664e-10 3.420926601012143e-18 8.771606669261906e-05 2.192901667315477e-04 3.852400595817845e-04 8.771606669261907e-17
128 5.333333333333331e-10 3.431782504590628e-18 8.799442319463148e-05 2.199860579865787e-04 3.867822437029312e-04 8.799442319463148e-17
129 5.374999999999998e-10 3.442515226999403e-18 8.826962120511291e-05 2.206740530127823e-04 3.883077252773250e-04 8.826962120511290e-17
130 5.416666666666665e-10 3.453126198223674e-18 8.854169739035062e-05 2.213542434758766e-04 3.898166714342390e-04 8.854169739035062e-17
131 5.458333333333332e-10 3.463616830675851e-18 8.881068796604746e-05 2.220267199151187e-04 3.913092481224095e-04 8.881068796604747e-17
132 5.499999999999998e-10 3.473988519212939e-18 8.907662869776767e-05 2.226915717444192e-04 3.927856200249184e-04 8.907662869776767e-17
133 5.541666666666665e-10 3.484242641441486e-18 8.933955490875606e-05 2.233488872718902e-04 3.942459506702160e-04 8.933955490875607e-17
134 5.583333333333332e-10 3.494380558050278e-18 8.959950148846867e-05 2.239987537211717e-04 3.956904023951129e-04 8.959950148846867e-17
135 5.624999999999998e-10 3.504403613066056e-18 8.985650289912964e-05 2.246412572478241e-04 3.971191362818676e-04 8.985650289912963e-17
136 5.666666666666665e-10 3.514313133951771e-18 9.011059317825055e-05 2.252764829456264e-04 3.985323121692891e-04 9.011059317825055e-17
137 5.708333333333332e-10 3.524110431846588e-18 9.036180594478432e-05 2.259045148619608e-04 3.999300887156489e-04 9.036180594478433e-17
138 5.749999999999998e-10 3.533796802100258e-18 9.061017441282712e-05 2.265254360320678e-04 4.013126233394697e-04 9.061017441282711e-17
139 5.791666666666665e-10 3.543373524184495e-18 9.085573138934602e-05 2.271393284733651e-04 4.026800721566128e-04 9.085573138934602e-17
140 5.833333333333332e-10 3.552841861835267e-18 9.109850927782736e-05 2.277462731945684e-04 4.040325900616935e-04 9.109850927782738e-17
141 5.874999999999998e-10 3.562203063644914e-18 9.133854009345935e-05 2.283463502336484e-04 4.053703307021770e-04 9.133854009345935e-17
142 5.916666666666665e-10 3.571458363013300e-18 9.157585546187949e-05 2.289396386546988e-04 4.066934465301883e-04 9.157585546187950e-17
143 5.958333333333331e-10 3.580608978397057e-18 9.181048662556558e-05 2.295262165639140e-04 4.080020886470812e-04 9.181048662556559e-17
144 5.999999999999998e-10 3.589656113529779e-18 9.204246444948153e-05 2.301061611237038e-04 4.092964069403654e-04 9.204246444948152e-17
145 6.041666666666665e-10 3.598600957695879e-18 9.227181942809947e-05 2.306795485702487e-04 4.105765500578016e-04 9.227181942809947e-17
146 6.083333333333331e-10 3.607444685782396e-18 9.249858168672810e-05 2.312464542168203e-04 4.118426653333867e-04 9.249858168672810e-17
147 6.124999999999998e-10 3.616188458503816e-18 9.272278098727733e-05 2.318069524681934e-04 4.130948989464856e-04 9.272278098727733e-17
148 6.166666666666664e-10 3.624833422808601e-18 9.294444673868210e-05 2.323611168467053e-04 4.143333957367943e-04 9.294444673868210e-17
149 6.208333333333331e-10 3.633380711724130e-18 9.316360799292642e-05 2.329090199823160e-04 4.155582992598503e-04 9.316360799292643e-17
150 6.249999999999998e-10 3.641831444895146e-18 9.338029345884990e-05 2.334507336471248e-04 4.167697518795523e-04 9.338029345884991e-17
151 6.291666666666664e-10 3.650186728403175e-18 9.359453149751733e-05 2.339863287437933e-04 4.179678947311517e-04 9.359453149751733e-17
152 6.333333333333331e-10 3.658447655304602e-18 9.380635013601545e-05 2.345158753400386e-04 4.191528676287350e-04 9.380635013601545e-17
153 6.374999999999998e-10 3.666615305543524e-18 9.401577706521857e-05 2.350394426630464e-04 4.203248091725444e-04 9.401577706521857e-17
154 6.416666666666664e-10 3.674690746225603e-18 9.422283964681034e-05 2.355570991170259e-04 4.214838567045695e-04 9.422283964681034e-17
