# iT  physTime_s  Qx_m3_per_s  qx_cell_m_per_s  max_abs_ux_m_per_s
257 1.070833333333333e-09 -5.461685772394898e-20 -1.400432249332025e-06 6.647421697312241e-06
258 1.075000000000000e-09 -5.225076763379704e-20 -1.339763272661462e-06 6.465850046735614e-06
259 1.079166666666666e-09 -4.968406705375846e-20 -1.273950437275858e-06 6.257308299646376e-06
260 1.083333333333333e-09 -4.693275655655190e-20 -1.203404014270562e-06 6.023301111704428e-06
261 1.087500000000000e-09 -4.401339780754979e-20 -1.128548661732046e-06 5.765423943710739e-06
262 1.091666666666666e-09 -4.094302408302307e-20 -1.049821130333925e-06 5.485353698726533e-06
263 1.095833333333333e-09 -3.773905050324353e-20 -9.676679616216290e-07 5.184839862493553e-06
264 1.100000000000000e-09 -3.441918420082321e-20 -8.825431846364927e-07 4.865694322688934e-06
265 1.104166666666666e-09 -3.100133491796991e-20 -7.949060235376900e-07 4.529781946832474e-06
266 1.108333333333333e-09 -2.750352632797819e-20 -7.052186237943127e-07 4.179010941850042e-06
267 1.112500000000000e-09 -2.394380881555352e-20 -6.139438157834236e-07 3.815322710335897e-06
268 1.116666666666666e-09 -2.034017361419886e-20 -5.215429131845862e-07 3.440682395113540e-06
269 1.120833333333333e-09 -1.671046918847241e-20 -4.284735689351900e-07 3.057068924434516e-06
270 1.125000000000000e-09 -1.307231986740739e-20 -3.351876889078818e-07 2.666465533977374e-06
271 1.129166666666666e-09 -9.443047115081668e-21 -2.421294132072223e-07 2.270850230429049e-06
272 1.133333333333333e-09 -5.839593916103153e-21 -1.497331773359783e-07 1.872186532598299e-06
273 1.137500000000000e-09 -2.278452329116498e-21 -5.842185459273072e-08 1.472414546750880e-06
274 1.141666666666666e-09 1.224405360347069e-21 3.139500923966845e-08 1.301481008115279e-06
275 1.145833333333333e-09 4.653591732800815e-21 1.193228649436106e-07 1.532042703794243e-06
276 1.150000000000000e-09 7.994365149039101e-21 2.049837217702334e-07 1.750911689693550e-06
277 1.154166666666666e-09 1.123268663759511e-20 2.880176060921822e-07 1.957280992806507e-06
278 1.158333333333333e-09 1.435527229967304e-20 3.680839051198215e-07 2.150418376639732e-06
279 1.162500000000000e-09 1.734964117363835e-20 4.448625941958553e-07 2.351305235544692e-06
280 1.166666666666666e-09 2.020415839715821e-20 5.180553435168770e-07 2.608530724542771e-06
281 1.170833333333333e-09 2.290807357650922e-20 5.873865019617750e-07 2.848465004321470e-06
282 1.175000000000000e-09 2.545155436601302e-20 6.526039581028981e-07 3.070310908844299e-06
283 1.179166666666666e-09 2.782571490491870e-20 7.134798693568898e-07 3.273372235756668e-06
284 1.183333333333333e-09 3.002263941241764e-20 7.698112669850677e-07 3.457055152668389e-06
285 1.187500000000000e-09 3.203540081570558e-20 8.214205337360406e-07 3.620868885491947e-06
286 1.191666666666666e-09 3.385807430747113e-20 8.681557514736187e-07 3.764426095918344e-06
287 1.195833333333333e-09 3.548574589960891e-20 9.098909205027927e-07 3.929083934937309e-06
288 1.200000000000000e-09 3.691451620593467e-20 9.465260565624275e-07 4.086301410856775e-06
289 1.204166666666666e-09 3.814149913989343e-20 9.779871574331649e-07 4.221196742633616e-06
290 1.208333333333333e-09 3.916481618895452e-20 1.004226056127039e-06 4.333566851973639e-06
291 1.212499999999999e-09 3.998358566635726e-20 1.025220145291212e-06 4.423319009349862e-06
292 1.216666666666666e-09 4.059790783911859e-20 1.040971995874836e-06 4.490468867862046e-06
