run_id,gap_nm,mode,coordinate_nm,fluid_area_m2,pressure_section_mean_Pa,Q_total_m3_s,Q_gap_m3_s,Q_recess_m3_s,recess_fraction_of_Q,periodic_section_pressure_gradient_Pa_m
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,117.5,4.2000000000000004e-14,-0.16971842435499032,2.9987864406993303e-18,1.541533155750585e-18,1.4572532849487453e-18,0.48594767042127457,67849898.6088449
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,122.5,4.2000000000000004e-14,0.1697210324573375,2.9987864253635978e-18,1.5415331391523068e-18,1.457253286211291e-18,0.48594767332741995,67849895.08933255
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,127.5,4.2000000000000004e-14,0.5087805265383352,2.99878642058008e-18,1.5450647350462533e-18,1.4537216855338263e-18,0.4847699974753857,67698215.63558209
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,132.5,4.2000000000000004e-14,0.8467031888131584,2.9987864120155016e-18,1.5520940194164725e-18,1.4466923925990292e-18,0.4824259529796585,67395903.94798489
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,137.5,4.2000000000000004e-14,1.182739566018184,2.9987864045505243e-18,1.5625499438101542e-18,1.43623646074037e-18,0.47893923307140024,66945159.29158244
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,142.5,4.2000000000000004e-14,1.5161547817289829,2.9987863887818935e-18,1.5763194125156588e-18,1.4224669762662346e-18,0.4743475499247015,66349978.124101944
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,147.5,4.2000000000000004e-14,1.8462393472592036,2.998786385241825e-18,1.593235502650714e-18,1.4055508825911112e-18,0.4687065706008153,65616521.56213922
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,152.5,4.2000000000000004e-14,2.172319997350375,2.9987863782732035e-18,1.6130661764691468e-18,1.3857202018040569e-18,0.4620936695737556,64753507.29056768
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,157.5,4.2000000000000004e-14,2.4937744201648804,2.9987863628455182e-18,1.6354833255263656e-18,1.3633030373191524e-18,0.45461825964338715,63773624.84733262
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,162.5,4.2000000000000004e-14,2.8100562458237013,2.9987863655592583e-18,1.660041162631387e-18,1.3387452029278712e-18,0.4464290015131512,62694695.82963558
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,167.5,4.2000000000000004e-14,3.120721378461236,2.998786364713735e-18,1.6860860973338277e-18,1.3127002673799073e-18,0.43774384291800594,61543181.641470835
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,172.5,4.2000000000000004e-14,3.4254880622384096,2.998786368201589e-18,1.712719666807061e-18,1.2860667013945282e-18,0.42886239414440147,60356262.05660045
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,177.5,4.2000000000000004e-14,3.7242839990272407,2.998786365140041e-18,1.738512590281971e-18,1.2602737748580701e-18,0.4202612728630358,-187854034.3677714
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,182.5,3e-14,1.5469477185606957,2.9987863810902127e-18,1.7567981272804903e-18,1.2419882538097226e-18,0.41416363020769625,-235036648.89647844
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,187.5,3e-14,1.373917510062456,2.9987863858423224e-18,1.7623741876832354e-18,1.2364121981590872e-18,0.41230419212130515,-32950814.73886967
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,192.5,3e-14,1.217439571171999,2.998786391526665e-18,1.767076383930544e-18,1.2317100075961207e-18,0.41073616016013204,-30324688.528974853
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,197.5,3e-14,1.0706706247727076,2.9987863913447655e-18,1.7710152307245154e-18,1.2277711606202503e-18,0.4094226798427189,-28447352.58817672
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,202.5,3e-14,0.9329660452902317,2.9987863993596878e-18,1.774294079268657e-18,1.2244923200910306e-18,0.40832928959277953,-26988793.492317196
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,207.5,3e-14,0.8007826898495356,2.9987864000759146e-18,1.7769999416032078e-18,1.2217864584727068e-18,0.4074269706044342,-26006237.72790035
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,212.5,3e-14,0.6729036680112283,2.9987864058284686e-18,1.779203139949459e-18,1.2195832658790096e-18,0.406692275084553,-25305171.035230156
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,217.5,3e-14,0.547730979497234,2.9987864092277053e-18,1.7809602835768604e-18,1.217826125650845e-18,0.40610632417947995,-24840842.068195347
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,222.5,3e-14,0.4244952473292748,2.99878641056921e-18,1.7823158866576704e-18,1.2164705239115394e-18,0.40565427388362646,-24527105.528861288
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,227.5,3e-14,0.30245992420862117,2.9987864245242694e-18,1.783304075479464e-18,1.2154823490448052e-18,0.4053247470725197,-24329210.41858693
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,232.5,3e-14,0.18120314314340552,2.9987864237227767e-18,1.7839495031239496e-18,1.2148369205988275e-18,0.40510951729956657,-24210600.01819084
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,237.5,3e-14,0.060353924026712774,2.998786424404898e-18,1.784268262645128e-18,1.2145181617597701e-18,0.405003221261677,-24156115.262769163
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,2.5,2.7600000000000004e-14,-0.06366073876362888,2.4394406147052904e-18,1.2822500008951467e-18,1.157190613810144e-18,0.4743671999369186,-25478149.861083835
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,7.5,2.7600000000000004e-14,-0.19112449703549128,2.4394406254145906e-18,1.2820383407415646e-18,1.157402284673026e-18,0.47445396810029833,-25534094.902146876
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,12.5,2.7600000000000004e-14,-0.31900168778509763,2.4394406278361205e-18,1.2816069918244467e-18,1.1578336360116738e-18,0.4746307915018689,-25656278.0453891
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,17.5,2.7600000000000004e-14,-0.4476872774893823,2.4394406275746404e-18,1.2809396499505967e-18,1.158500977624044e-18,0.474904354928227,-25857759.83803298
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,22.5,2.7600000000000004e-14,-0.5775792861654274,2.4394406263922974e-18,1.2800112984223233e-18,1.1594293279699741e-18,0.4752849138552967,-26165883.89096053
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,27.5,2.7600000000000004e-14,-0.7093461163989876,2.439440628882039e-18,1.2787873783963733e-18,1.160653250485666e-18,0.47578663597874765,-26607743.008197226
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,32.5,2.7600000000000004e-14,-0.8436567162473997,2.4394406382953095e-18,1.2772228900985283e-18,1.162217748196781e-18,0.4764279687530922,-27262005.01555982
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,37.5,2.7600000000000004e-14,-0.9819661665545858,2.439440637442658e-18,1.2752607740821987e-18,1.1641798633604594e-18,0.47723229886868884,-28164264.840492293
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,42.5,2.7600000000000004e-14,-1.1252993646523226,2.4394406516989876e-18,1.2728306109465849e-18,1.1666100407524027e-18,0.4782284987912694,-29498564.878451638
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,47.5,2.7600000000000004e-14,-1.2769518153391022,2.439440653188285e-18,1.2698459049261147e-18,1.1695947482621704e-18,0.47945201976262086,-31196088.300666958
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,52.5,2.7600000000000004e-14,-1.4372602476589922,2.4394406533019722e-18,1.2662046980494779e-18,1.1732359552524942e-18,0.48094465986062346,-33572630.98376386
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,57.5,2.7600000000000004e-14,-1.6126781251767408,2.439440651005498e-18,1.2617977999525465e-18,1.1776428510529513e-18,0.4827511792785555,-234248372.61464545
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,62.5,3.96e-14,-3.779743973805447,2.4394406733595442e-18,1.2462823356599983e-18,1.1931583376995459e-18,0.48911143883501557,-186607318.25341135
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,67.5,3.96e-14,-3.4787513077108545,2.4394406719223594e-18,1.2241277823704878e-18,1.2153128895518714e-18,0.4981932553392106,60860812.02433568
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,72.5,3.96e-14,-3.17113585356209,2.4394406779352703e-18,1.201207000622162e-18,1.2382336773131082e-18,0.5075891734170567,62177547.10503298
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,77.5,3.96e-14,-2.8569758366605247,2.4394406672655852e-18,1.178800565094207e-18,1.2606401021713786e-18,0.5167742421808741,63454172.515658416
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,82.5,3.96e-14,-2.536594128405506,2.4394406680816884e-18,1.1577049004699803e-18,1.2817357676117081e-18,0.5254219888937209,64647825.91269471
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,87.5,3.96e-14,-2.2104975775335776,2.439440659380282e-18,1.1384881935100566e-18,1.3009524658702252e-18,0.5332994925979141,65728800.66103403
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,92.5,3.96e-14,-1.8793061217951654,2.439440656279901e-18,1.1215279725547589e-18,1.317912683725142e-18,0.5402519960190107,66677664.7584306
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,97.5,3.96e-14,-1.5437209299492716,2.4394406497869174e-18,1.1070937252043222e-18,1.3323469245825946e-18,0.5461690263704402,67481268.25750476
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,102.5,3.96e-14,-1.2044934392201179,2.4394406436223373e-18,1.095369134009161e-18,1.3440715096131762e-18,0.5509752873582354,68131215.79324055
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,107.5,3.96e-14,-0.862408772016866,2.439440636205248e-18,1.0864817686979223e-18,1.3529588675073256e-18,0.5546184840193387,68622271.29232553
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,112.5,3.96e-14,-0.5182707262968625,2.4394406281230463e-18,1.0805149586303742e-18,1.3589256694926723e-18,0.5570644572474209,68951484.96877289
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,65,x,117.5,3.96e-14,-0.1728939223291371,2.4394406174363002e-18,1.0775196372833307e-18,1.36192098015297e-18,0.5582923275190292,69116680.13169836
